id_egresso,meses_desde_formacao,idade_egresso,nivel_cargo,renda_mensal_estimada,area_atuacao,modalidade_graduacao,tipo_empresa,satisfacao_graduacao_nps,engajamento_alumni_score,bolsista_graduacao,potencial_matricula_pos
1,108,31,Sem vínculo,0.0,Tecnologia,EAD,Desempregado,6,55,0,0
2,57,25,Júnior,5282.79,Exatas,Híbrido,Iniciativa Privada,6,31,0,0
3,98,28,Sem vínculo,0.0,Humanas,Presencial,Desempregado,9,100,0,0
4,20,25,Júnior,2378.19,Exatas,Presencial,Setor Público,5,21,0,0
5,112,35,Gestão,18143.78,Tecnologia,Presencial,Iniciativa Privada,9,88,1,0
6,77,28,Gestão,16170.87,Tecnologia,Presencial,ONG,5,64,1,0
7,66,27,Sênior,12146.16,Tecnologia,Presencial,Iniciativa Privada,6,99,0,0
8,26,26,Pleno,5125.88,Tecnologia,EAD,Iniciativa Privada,5,20,0,0
9,108,34,Gestão,17082.71,Tecnologia,EAD,Autônomo/PJ,8,79,0,0
10,88,32,Sem vínculo,0.0,Humanas,Presencial,Desempregado,5,95,0,0
11,92,27,Gestão,16643.51,Biológicas,EAD,Iniciativa Privada,5,20,0,0
12,80,33,Gestão,15676.68,Humanas,EAD,Iniciativa Privada,10,27,1,1
13,80,27,Sênior,12382.27,Humanas,EAD,Autônomo/PJ,8,18,0,0
14,93,29,Gestão,18132.96,Exatas,EAD,Setor Público,8,13,1,0
15,105,35,Gestão,17065.8,Tecnologia,EAD,ONG,8,86,0,0
16,109,36,Sênior,9570.4,Tecnologia,Presencial,Setor Público,9,23,0,0
17,29,23,Pleno,4554.56,Tecnologia,EAD,Iniciativa Privada,6,19,0,0
18,8,27,Sem vínculo,0.0,Humanas,EAD,Desempregado,10,31,1,0
19,27,29,Júnior,1824.79,Biológicas,Presencial,Iniciativa Privada,5,73,0,0
20,58,29,Pleno,6936.36,Exatas,Presencial,Iniciativa Privada,8,51,1,0
21,7,25,Júnior,2369.1,Exatas,Presencial,Iniciativa Privada,8,64,0,0
22,93,30,Sênior,13498.3,Exatas,Presencial,Setor Público,6,94,1,0
23,113,35,Gestão,15191.26,Exatas,EAD,Iniciativa Privada,7,51,1,0
24,35,22,Pleno,5915.72,Humanas,Presencial,Autônomo/PJ,5,100,1,0
25,43,30,Sênior,12582.66,Humanas,Presencial,Iniciativa Privada,7,57,1,0
26,7,23,Júnior,4997.38,Humanas,Presencial,Iniciativa Privada,7,78,0,0
27,69,31,Gestão,17097.54,Humanas,Presencial,Autônomo/PJ,8,94,1,1
28,65,28,Sênior,10971.08,Exatas,EAD,Iniciativa Privada,9,91,1,0
29,26,25,Pleno,7176.13,Biológicas,EAD,Iniciativa Privada,6,9,0,0
30,38,23,Júnior,2843.81,Humanas,Presencial,Iniciativa Privada,5,69,0,0
31,81,26,Sem vínculo,0.0,Exatas,Híbrido,Desempregado,5,14,1,0
32,63,29,Pleno,4582.33,Exatas,Presencial,Iniciativa Privada,5,46,0,0
33,27,23,Pleno,6039.05,Biológicas,EAD,Iniciativa Privada,9,90,1,0
34,113,30,Gestão,16144.91,Exatas,EAD,Iniciativa Privada,7,9,0,0
35,94,31,Gestão,18329.24,Exatas,Presencial,Iniciativa Privada,4,20,1,0
36,54,28,Sênior,9947.74,Tecnologia,Híbrido,Iniciativa Privada,6,18,0,0
37,96,33,Gestão,15499.89,Biológicas,EAD,Iniciativa Privada,4,67,1,0
38,64,31,Pleno,5503.06,Exatas,Híbrido,Iniciativa Privada,7,21,0,0
39,47,26,Sem vínculo,0.0,Exatas,Presencial,Desempregado,8,62,1,0
40,97,35,Pleno,6108.33,Biológicas,Presencial,Iniciativa Privada,4,37,1,0
41,65,29,Sênior,13660.9,Biológicas,EAD,Iniciativa Privada,4,14,1,0
42,85,29,Sênior,10705.32,Biológicas,Híbrido,Iniciativa Privada,6,69,0,0
43,20,22,Júnior,4067.25,Tecnologia,Híbrido,Iniciativa Privada,7,74,1,0
44,67,29,Gestão,16924.42,Exatas,Híbrido,Setor Público,6,43,0,0
45,67,27,Gestão,17212.43,Tecnologia,EAD,Iniciativa Privada,8,29,1,0
46,52,26,Sênior,11943.54,Tecnologia,Presencial,Iniciativa Privada,9,23,1,0
47,67,27,Sênior,12980.7,Biológicas,Presencial,Autônomo/PJ,9,85,0,1
48,56,29,Pleno,5595.06,Biológicas,Presencial,Iniciativa Privada,9,93,0,0
49,113,34,Gestão,16554.81,Exatas,Presencial,Iniciativa Privada,5,45,1,0
50,60,32,Gestão,17839.47,Tecnologia,Presencial,Iniciativa Privada,9,3,0,0
51,69,32,Sênior,11770.9,Tecnologia,Presencial,Iniciativa Privada,10,5,1,0
52,8,22,Júnior,1500.0,Exatas,Presencial,Iniciativa Privada,9,37,1,0
53,106,34,Sênior,9862.14,Tecnologia,Híbrido,Iniciativa Privada,7,25,1,0
54,56,29,Pleno,6939.76,Humanas,Presencial,Setor Público,10,18,0,0
55,12,24,Júnior,2192.76,Humanas,Presencial,ONG,9,1,0,0
56,26,24,Sênior,10610.47,Biológicas,EAD,Iniciativa Privada,9,67,0,1
57,78,29,Gestão,17557.24,Tecnologia,EAD,Iniciativa Privada,8,68,1,0
58,44,26,Júnior,4969.13,Exatas,Presencial,Iniciativa Privada,8,46,0,0
59,23,23,Júnior,5307.7,Biológicas,Presencial,Iniciativa Privada,4,98,0,0
60,9,21,Júnior,3185.16,Exatas,Presencial,Iniciativa Privada,10,28,0,0
61,94,33,Sem vínculo,0.0,Tecnologia,Presencial,Desempregado,6,63,0,0
62,65,27,Sênior,12368.91,Tecnologia,Presencial,Setor Público,4,79,1,0
63,19,28,Sem vínculo,0.0,Biológicas,EAD,Desempregado,4,11,1,0
64,119,31,Gestão,18023.13,Humanas,EAD,ONG,5,84,1,1
65,14,26,Júnior,2795.45,Biológicas,EAD,Iniciativa Privada,6,72,1,0
66,95,29,Sênior,12250.31,Tecnologia,Presencial,Iniciativa Privada,5,10,0,0
67,58,25,Pleno,7152.68,Humanas,Presencial,Iniciativa Privada,9,7,1,0
