id_curso,nome_curso,area_conhecimento,duracao_semestres,mensalidade_base
101,Ciência da Computação,Tecnologia,8,1200.0
102,Análise e Desenvolvimento de Sistemas,Tecnologia,5,850.0
103,Sistemas de Informação,Tecnologia,8,1050.0
104,Engenharia de Software,Tecnologia,9,1350.0
201,Engenharia Civil,Exatas,10,1500.0
202,Engenharia de Produção,Exatas,10,1400.0
203,Matemática Aplicada,Exatas,8,900.0
204,Estatística e Ciência de Dados,Exatas,8,1150.0
301,Administração,Humanas,8,980.0
302,Direito,Humanas,10,1600.0
303,Psicologia,Humanas,10,1300.0
304,Pedagogia,Humanas,8,750.0
401,Medicina Veterinária,Biológicas,10,2200.0
402,Enfermagem,Biológicas,9,1250.0
403,Biomedicina,Biológicas,8,1100.0
404,Nutrição,Biológicas,8,1000.0
